Key,Status,Applied On,Notes,Bucket,Title,Employer,Location,Drive time,Requirement evidence,Posted,First seen,Last seen,URL
PACS Group::JR179199,unapplied,,,"Experience required, not acute",RN All Shifts Full-Time,PACS Group,Modesto,60-90,Essential Duties and Responsibilities Administrative & Leadership Functions Assist the Director of Nursing (DON) and/or ADON with oversight of nursing services during the NOC shift Ensure nursing staf,2026-08-24,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Garden-City-Healthcare-Center/RN-NOC-Shift-Full-Time_JR179199
PACS Group::JR179198,unapplied,,,"Experience required, not acute",RN NOC Per Diem,PACS Group,Modesto,60-90,Essential Duties and Responsibilities Administrative & Leadership Functions Assist the Director of Nursing (DON) and/or ADON with oversight of nursing services during the NOC shift Ensure nursing staf,2026-08-19,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/Garden-City-Healthcare-Center/RN-NOC-Per-Diem_JR179198
PACS Group::JR177157,unapplied,,,"Experience required, not acute",RN Weekend Desk,PACS Group,Sacramento,60-90,2 years or more experience preferably in a long-term care facility.,2026-08-03,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/McKinley-Park-Care-Center/RN-Weekend-Desk_JR177157-1
PACS Group::JR164288,unapplied,,,"Experience required, not acute",Registered Nurse,PACS Group,Sacramento,60-90,2 years or more experience preferably in a long-term care facility.,2026-03-13,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://pacs.wd108.myworkdayjobs.com/pacs/job/North-Pointe-Care-Center/Registered-Nursing_JR164288
Sutter Health::R-138923,closed,,,"Experience required, not acute","Registered Nurse, Sutter Center for Psychiatry",Sutter Health,Sacramento,60-90,2 years of recent relevant experience,2026-09-01,2026-09-02T08:32:38+00:00,2026-09-02T08:46:16+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse--Sutter-Center-for-Psychiatry_R-138923
Sutter Health::R-138156,unapplied,,,"Experience required, not acute","Registered Nurse II, Urgent Care Per Diem",Sutter Health,Los Gatos,60-90,Two years recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Los-Gatos/Registered-Nurse-II--Urgent-Care-Per-Diem_R-138156-1
Sutter Health::R-139446,unapplied,,,"Experience required, not acute","Registered Nurse II, Labor and Delivery",Sutter Health,Modesto,60-90,2 years of recent relevant experience,2026-08-31,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Modesto/Registered-Nurse-II--Labor-and-Delivery_R-139446
Sutter Health::R-138871,closed,,,"Experience required, not acute","Registered Nurse II, Neonatal ICU",Sutter Health,Sacramento,60-90,2 years nursing,2026-08-28,2026-09-02T08:32:38+00:00,2026-09-03T16:42:59+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Neonatal-ICU_R-138871
Sutter Health::R-139025,unapplied,,,"Experience required, not acute","Registered Nurse II, Labor & Delivery",Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-27,2026-09-02T08:32:38+00:00,2026-09-03T23:01:08+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Labor---Delivery_R-139025
Sutter Health::R-139077,closed,,,"Experience required, not acute","Registered Nurse II, Pediatrics",Sutter Health,Sacramento,60-90,2 years of recent relevant experience.,2026-08-26,2026-09-02T08:32:38+00:00,2026-09-03T18:29:52+00:00,https://wd1.myworkdaysite.com/recruiting/sutterhealth/SH/job/Sacramento/Registered-Nurse-II--Pediatrics_R-139077
